genotype,thinning,area,tolerance
cv1,manipulation,16.94,0
cv1,manipulation,12.33,1
cv1,manipulation,16.49,1
cv1,manipulation,19.19,1
cv1,manipulation,19.1,1
cv1,manipulation,16.66,0
cv1,manipulation,13.55,0
cv1,manipulation,19.31,1
cv1,manipulation,21.3,1
cv1,manipulation,16.97,1
cv1,manipulation,19.45,1
cv1,manipulation,17.92,1
cv1,manipulation,14.8,1
cv1,manipulation,17.4,1
cv1,manipulation,20.54,1
cv1,manipulation,22.51,1
cv1,manipulation,20.74,1
cv1,manipulation,16.66,0
cv1,manipulation,18.9,1
cv1,manipulation,19.68,1
cv1,manipulation,20.94,1
cv1,manipulation,14.46,0
cv1,manipulation,19.72,1
cv1,manipulation,20.15,0
cv1,manipulation,17.71,1
cv1,manipulation,16.7,0
cv1,manipulation,23.6,1
cv1,manipulation,19.23,1
cv1,manipulation,17.67,1
cv1,manipulation,20.26,1
cv1,manipulation,20.02,1
cv1,manipulation,19.16,1
cv1,manipulation,21.54,1
cv1,manipulation,19.89,1
cv1,manipulation,18.21,1
cv1,manipulation,19.74,0
cv1,manipulation,19.93,0
cv1,manipulation,23.94,1
cv1,manipulation,19.06,1
cv1,manipulation,21.21,0
cv1,manipulation,16.17,1
cv1,manipulation,20.32,0
cv1,manipulation,16.73,1
cv1,manipulation,12.4,0
cv1,manipulation,19.34,1
cv1,manipulation,19.09,1
cv1,manipulation,17.88,1
cv1,manipulation,18.35,0
cv1,manipulation,21.7,1
cv1,manipulation,18.32,1
cv1,manipulation,20.75,1
cv1,manipulation,19.61,1
cv1,manipulation,18.89,1
cv1,manipulation,20.25,1
cv1,manipulation,21.66,1
cv1,manipulation,18.7,0
cv1,manipulation,21.91,1
cv1,manipulation,17.72,1
cv1,manipulation,19.98,1
cv1,manipulation,11.45,1
cv1,manipulation,20.66,1
cv1,manipulation,16.3,1
cv1,manipulation,18.65,1
cv1,manipulation,14.48,0
cv1,manipulation,17.84,1
cv1,manipulation,21.32,1
cv1,manipulation,16.21,0
cv1,manipulation,20.71,1
cv1,manipulation,15.2,1
cv1,manipulation,16.42,1
cv1,manipulation,13.99,1
cv1,manipulation,16.59,0
cv1,manipulation,20.42,0
cv1,manipulation,20.36,1
cv1,manipulation,22.69,1
cv1,manipulation,12.98,0
cv1,manipulation,20.65,1
cv1,manipulation,17.42,0
cv1,manipulation,19.69,1
cv1,manipulation,23.09,1
cv1,manipulation,17.7,0
cv1,manipulation,18.01,0
cv1,manipulation,19.51,1
cv1,manipulation,12.21,0
cv1,manipulation,12.13,0
cv1,manipulation,17.9,1
cv1,manipulation,19.22,1
cv1,manipulation,21.85,1
cv1,manipulation,19.86,1
cv1,manipulation,19.2,1
cv1,manipulation,20.7,0
cv1,manipulation,13.71,0
cv1,manipulation,21.44,1
cv1,manipulation,19.79,1
cv1,manipulation,17.01,1
cv1,manipulation,10.98,0
cv1,manipulation,18.66,0
cv1,manipulation,21.17,1
cv1,manipulation,15.87,0
cv1,manipulation,20.67,1
cv1,manipulation,21.43,1
cv1,manipulation,14.98,0
cv1,manipulation,21.79,1
cv1,manipulation,15.24,0
cv1,manipulation,13.84,0
cv1,manipulation,14.77,0
cv1,manipulation,18.75,0
cv1,manipulation,16.41,0
cv1,manipulation,12.5,0
cv1,manipulation,19.31,0
cv1,manipulation,19.06,1
cv1,manipulation,20.16,1
cv1,manipulation,20.04,1
cv1,manipulation,19.88,1
cv1,manipulation,13.12,0
cv1,manipulation,12.7,0
cv1,manipulation,22.46,1
cv1,manipulation,17.06,0
cv1,manipulation,20.78,1
cv1,manipulation,21.62,1
cv1,manipulation,19.85,1
cv1,manipulation,16.5,1
cv1,manipulation,14.01,0
cv1,manipulation,18.35,1
cv1,manipulation,12.47,0
cv1,manipulation,20.42,1
cv1,manipulation,17.71,1
cv1,manipulation,21.2,1
cv1,manipulation,18.76,1
cv1,manipulation,15.09,0
cv1,manipulation,20.12,1
cv1,manipulation,20.56,1
cv1,manipulation,17.71,0
cv1,manipulation,21.18,1
cv1,manipulation,20.38,1
cv1,manipulation,20.46,1
cv1,manipulation,15.96,0
cv1,manipulation,14.15,1
cv1,manipulation,18.84,0
cv1,manipulation,19.22,0
cv1,manipulation,16.01,0
cv1,manipulation,16.66,1
cv1,manipulation,19.03,1
cv1,manipulation,19.55,1
cv1,manipulation,19.84,1
cv1,manipulation,20.21,1
cv1,manipulation,15.03,1
cv1,manipulation,15.42,0
cv1,manipulation,15.53,0
cv1,manipulation,18.74,1
cv1,manipulation,21.17,1
cv1,manipulation,13.51,0
cv1,manipulation,16.9,0
cv1,manipulation,18.88,1
cv1,manipulation,17.59,0
cv1,manipulation,20.67,1
cv1,manipulation,15.18,1
cv1,manipulation,18.68,1
cv1,manipulation,17.61,1
cv1,manipulation,14.22,0
cv1,manipulation,19.03,1
cv1,manipulation,17.74,0
cv1,manipulation,20.67,1
cv1,manipulation,23.71,1
cv1,manipulation,16.48,0
cv1,manipulation,23.2,1
cv1,manipulation,17.17,1
cv1,manipulation,20.57,1
cv1,manipulation,10.33,0
cv1,manipulation,17.59,1
cv1,manipulation,18.87,1
cv1,manipulation,20.57,1
cv1,manipulation,14.08,0
cv1,manipulation,20.16,1
cv1,manipulation,21.08,1
cv1,manipulation,18.34,1
cv1,manipulation,13.32,0
cv1,manipulation,25.85,1
cv1,manipulation,14.49,0
cv1,manipulation,15.81,1
cv1,manipulation,13.68,0
cv1,manipulation,20.89,1
cv1,manipulation,22.12,1
cv1,manipulation,17.14,1
cv1,manipulation,20.61,1
cv1,manipulation,18.34,1
cv1,manipulation,21.74,1
cv1,manipulation,21.1,1
cv1,manipulation,15.18,0
cv1,manipulation,21.04,1
cv1,manipulation,20.52,1
cv1,manipulation,23.77,1
cv1,manipulation,15.27,0
cv1,manipulation,12.36,0
cv1,manipulation,18.87,1
cv1,manipulation,14.59,0
cv1,manipulation,14.44,0
cv1,manipulation,12.86,0
cv1,manipulation,17.55,1
cv1,manipulation,13.96,0
cv1,manipulation,17.72,1
cv1,manipulation,18.85,1
cv1,manipulation,21.62,1
cv1,manipulation,21.74,1
cv1,manipulation,22.01,1
cv1,manipulation,23.08,1
cv1,manipulation,18.27,1
cv1,manipulation,20.82,1
cv1,manipulation,18.64,0
cv1,manipulation,17.96,0
cv1,manipulation,14.01,0
cv1,manipulation,16.05,1
cv1,manipulation,18.66,0
cv1,manipulation,15.68,0
cv1,manipulation,19.99,1
cv1,manipulation,19.23,0
cv1,manipulation,21.16,0
cv1,manipulation,18.47,0
cv1,manipulation,19.4,1
cv1,manipulation,15.39,1
cv1,manipulation,15.43,0
cv1,manipulation,16.78,0
cv1,manipulation,19.7,1
cv1,manipulation,19.5,1
cv1,manipulation,18.84,1
cv1,manipulation,19.4,1
cv1,manipulation,11.57,0
cv1,manipulation,18.04,0
cv1,manipulation,19.75,1
cv1,manipulation,15.67,0
cv1,manipulation,14.56,0
cv1,manipulation,17.95,0
cv1,manipulation,11.68,0
cv1,manipulation,21.55,1
cv1,manipulation,17.96,1
cv1,manipulation,16.11,1
cv1,manipulation,15.56,1
cv1,manipulation,11.62,0
cv1,manipulation,18.34,1
cv1,manipulation,21.51,1
cv1,manipulation,20.07,1
cv1,manipulation,15.65,0
cv1,manipulation,22.03,1
cv1,manipulation,20.53,1
cv1,manipulation,19.78,1
cv1,manipulation,20.44,0
cv1,manipulation,20.59,1
cv1,manipulation,18.67,0
cv1,manipulation,10.75,0
cv1,manipulation,17.09,1
cv1,manipulation,17.88,1
cv1,manipulation,18.9,1
cv1,manipulation,21.22,1
cv1,manipulation,21.73,1
cv1,manipulation,22.02,1
cv1,manipulation,11.82,0
cv1,manipulation,22.69,1
cv1,manipulation,21.1,1
cv1,manipulation,20.36,1
cv1,manipulation,20.42,1
cv1,manipulation,18.55,1
cv1,manipulation,22.2,1
cv1,manipulation,16.08,0
cv1,manipulation,19.99,1
cv1,manipulation,13.48,0
cv1,manipulation,19.97,1
cv1,manipulation,19.63,1
cv1,manipulation,14.9,0
cv1,manipulation,19.87,1
cv1,manipulation,18.8,1
cv1,manipulation,19.11,1
cv1,manipulation,17.98,0
cv1,manipulation,16.64,0
cv1,manipulation,18.62,0
cv1,manipulation,8.65,0
cv1,manipulation,21.04,1
cv1,manipulation,13.86,0
cv1,manipulation,20.23,1
cv1,manipulation,15.64,0
cv1,manipulation,18.47,1
cv1,manipulation,12.99,0
cv1,manipulation,22.06,1
cv1,manipulation,18.46,0
cv1,manipulation,15.1,1
cv1,manipulation,20.4,0
cv1,manipulation,19.54,1
cv1,manipulation,16.52,1
cv1,manipulation,16.47,0
cv1,manipulation,13.92,0
cv1,manipulation,21.93,1
cv1,manipulation,20.81,1
cv1,manipulation,19.76,0
cv1,manipulation,20.81,1
cv1,manipulation,17.1,1
cv1,manipulation,23.03,1
cv1,manipulation,14.28,0
cv1,manipulation,18.43,1
cv1,manipulation,18.13,0
cv1,manipulation,9.57,0
cv1,manipulation,15.62,1
cv1,manipulation,22.09,1
cv1,manipulation,20.72,1
cv1,manipulation,18.85,1
cv1,manipulation,16.92,1
cv1,manipulation,20.19,1
cv1,manipulation,13.48,0
cv1,manipulation,21.51,1
cv1,manipulation,17.76,0
cv1,manipulation,22.2,1
cv1,manipulation,19.77,1
cv1,manipulation,22.56,1
cv1,manipulation,20.04,1
cv1,manipulation,13.24,0
cv1,manipulation,19.69,1
cv1,manipulation,12.92,0
cv1,manipulation,17.92,0
cv1,manipulation,15.03,1
cv1,manipulation,22.89,1
cv1,manipulation,14.63,0
cv1,manipulation,15.24,0
cv1,manipulation,12.6,0
cv1,manipulation,18.4,0
cv1,manipulation,17.09,0
cv1,manipulation,18.87,0
cv1,manipulation,21.26,1
cv1,manipulation,18,1
cv1,manipulation,14.32,0
cv1,manipulation,14.5,0
cv1,manipulation,20.96,1
cv1,manipulation,19.42,0
cv1,manipulation,22.24,1
cv1,manipulation,11.53,0
cv1,manipulation,9.63,0
cv1,manipulation,15.79,0
cv1,manipulation,17.9,1
cv1,manipulation,14.78,0
cv1,manipulation,16.28,0
cv1,manipulation,21.81,0
cv1,manipulation,18.62,0
cv1,manipulation,18.45,0
cv1,manipulation,11.77,0
cv1,manipulation,17.95,1
cv1,manipulation,15.71,0
cv1,manipulation,19.63,1
cv1,manipulation,21.7,1
cv1,manipulation,18.93,1
cv1,manipulation,17.7,1
cv1,manipulation,11.72,0
cv1,manipulation,14.5,1
cv1,manipulation,13.95,0
cv1,manipulation,9.75,0
cv1,manipulation,17.6,1
cv1,manipulation,15.51,0
cv1,manipulation,13.55,0
cv1,manipulation,20.61,1
cv1,manipulation,11.66,0
cv1,manipulation,22.38,1
cv1,manipulation,16.1,0
cv1,manipulation,15.53,0
cv1,manipulation,17.35,0
cv1,manipulation,21.02,1
cv1,manipulation,21.94,1
cv1,manipulation,12.8,0
cv1,manipulation,18.83,0
cv1,manipulation,17.04,0
cv1,manipulation,20.49,0
cv1,manipulation,14.94,1
cv1,manipulation,21.56,1
cv1,manipulation,19.8,1
cv1,manipulation,20.87,1
cv1,manipulation,21.07,1
cv1,manipulation,19.65,1
cv1,manipulation,19.42,1
cv1,manipulation,16.23,0
cv1,manipulation,14,0
cv1,manipulation,9.54,0
cv1,manipulation,12.78,0
cv1,manipulation,16.56,0
cv1,manipulation,22.45,1
cv1,manipulation,12.44,1
cv1,manipulation,17.86,1
cv1,manipulation,19.95,0
cv1,manipulation,13.41,1
cv1,manipulation,11.31,0
cv1,manipulation,19.24,0
cv1,manipulation,20.08,1
cv1,manipulation,16.81,1
cv1,manipulation,13.89,0
cv1,manipulation,14.6,1
cv1,manipulation,13.4,1
cv1,manipulation,21.08,0
cv1,manipulation,15.41,0
cv1,manipulation,20.13,1
cv1,manipulation,17.05,1
cv1,manipulation,17.3,1
cv1,manipulation,11.99,0
cv1,manipulation,20.27,1
cv1,manipulation,19.24,1
cv1,manipulation,15.72,0
cv1,manipulation,18.01,0
cv1,manipulation,16.41,1
cv1,manipulation,20.84,1
cv1,manipulation,10.5,0
cv1,manipulation,21.6,1
cv1,manipulation,13.8,0
cv1,manipulation,15.94,1
cv1,manipulation,20.83,1
cv1,manipulation,11.95,1
cv1,manipulation,19.11,1
cv1,manipulation,19.13,1
cv1,manipulation,16.96,0
cv1,manipulation,18.98,1
cv1,manipulation,14.01,0
cv1,manipulation,11.38,0
cv1,manipulation,21.73,1
cv1,manipulation,19.6,1
cv1,manipulation,19.99,1
cv1,manipulation,17.41,1
cv1,manipulation,18.37,1
cv1,manipulation,11.55,0
cv1,manipulation,19.09,1
cv1,manipulation,6.71,0
cv1,manipulation,18.56,1
cv1,manipulation,15.56,1
cv1,manipulation,21.43,1
cv1,manipulation,20.58,1
cv1,manipulation,11.86,0
cv1,manipulation,21,1
cv1,manipulation,20.53,1
cv1,manipulation,17.95,1
cv1,manipulation,12.16,0
cv1,manipulation,15.61,0
cv1,manipulation,16.77,1
cv1,manipulation,19.33,1
cv1,manipulation,22.05,1
cv1,manipulation,14.25,1
cv1,manipulation,14.21,0
cv1,manipulation,14.17,0
cv1,manipulation,16.37,0
cv1,manipulation,11.44,0
cv1,manipulation,19.03,0
cv1,manipulation,19.07,1
cv1,manipulation,14.2,1
cv1,manipulation,19.52,1
cv1,manipulation,15.75,1
cv1,manipulation,15.32,1
cv1,manipulation,21.17,1
cv1,manipulation,20.94,1
cv1,manipulation,18.31,0
cv1,manipulation,17.65,1
cv1,manipulation,22.05,1
cv1,manipulation,18.57,1
cv1,manipulation,17.66,0
cv1,manipulation,18.21,1
cv1,manipulation,21.22,1
cv1,manipulation,20.85,1
cv1,manipulation,19.08,1
cv1,manipulation,17.66,1
cv1,manipulation,18.54,1
cv1,manipulation,16.65,1
cv1,manipulation,10.88,0
cv1,manipulation,13.78,0
cv1,manipulation,21.56,1
cv1,manipulation,16.23,0
cv1,manipulation,18.08,1
cv1,manipulation,20.39,1
cv1,manipulation,15.65,1
cv1,manipulation,16.59,0
cv1,manipulation,20.98,1
cv1,manipulation,22.17,1
cv1,manipulation,15.95,1
cv1,manipulation,21.19,1
cv1,manipulation,18.72,1
cv1,manipulation,21.05,1
cv1,manipulation,19.89,0
cv1,manipulation,20.1,1
cv1,manipulation,21.82,1
cv1,manipulation,21.69,1
cv1,manipulation,21.65,1
cv1,manipulation,19.97,1
cv1,manipulation,18.14,1
cv1,manipulation,14.1,0
cv1,manipulation,15.11,0
cv1,manipulation,18.04,1
cv1,manipulation,19.9,1
cv1,manipulation,21.66,1
cv1,manipulation,18.92,0
cv1,manipulation,21.65,1
cv1,manipulation,14.56,0
cv1,manipulation,15.96,1
cv1,manipulation,21.81,1
cv1,manipulation,21.04,1
cv1,manipulation,13.09,0
cv1,manipulation,21.36,1
cv1,manipulation,19.77,1
cv1,manipulation,18.73,1
cv1,manipulation,19.06,1
cv1,manipulation,16.85,1
cv1,manipulation,14.56,1
cv1,manipulation,20.99,1
cv1,manipulation,18.39,1
cv1,manipulation,17.91,0
cv1,manipulation,18.88,1
cv1,manipulation,21.24,1
cv1,manipulation,19.03,0
cv1,manipulation,20.02,1
cv1,manipulation,19.61,1
cv1,manipulation,21.34,1
cv1,manipulation,20.29,1
cv1,manipulation,20.31,1
cv1,manipulation,15.72,0
cv1,manipulation,18.8,1
cv1,manipulation,19.88,1
cv1,manipulation,18.9,0
cv1,manipulation,21.25,1
cv1,manipulation,13.63,0
cv1,manipulation,14.43,0
cv1,manipulation,21.06,1
cv1,manipulation,16.72,0
cv1,manipulation,19.95,1
cv1,manipulation,19.53,0
cv1,manipulation,19.87,1
cv1,manipulation,16.54,0
cv1,manipulation,18.29,0
cv1,manipulation,17.25,1
cv1,manipulation,21.56,1
cv1,manipulation,13.02,1
cv1,manipulation,19.71,1
cv1,manipulation,18.58,1
cv1,manipulation,13.73,0
cv1,manipulation,20.96,1
cv1,manipulation,20.85,1
cv1,manipulation,20.77,1
cv1,manipulation,17.88,1
cv1,manipulation,15.44,0
cv1,manipulation,9.23,0
cv1,manipulation,11.82,0
cv1,manipulation,16.57,1
cv1,manipulation,16.95,1
cv1,manipulation,14.42,0
cv1,manipulation,14.21,0
cv1,manipulation,13.36,0
cv1,manipulation,24.13,1
cv1,manipulation,21.24,1
cv1,manipulation,17.58,0
cv1,manipulation,13.68,0
cv1,manipulation,18.5,1
cv1,manipulation,21.24,1
cv1,manipulation,21.05,1
cv1,manipulation,17.1,0
cv1,manipulation,21.78,1
cv1,manipulation,14.57,0
cv1,manipulation,15.24,0
cv1,manipulation,15.7,0
cv1,manipulation,21.97,1
cv1,manipulation,19.67,1
cv1,manipulation,20.28,1
cv1,manipulation,13.65,0
cv1,manipulation,22.92,1
cv1,manipulation,18.2,0
cv1,manipulation,14.17,0
cv1,manipulation,18.55,1
cv1,manipulation,23.21,1
cv1,manipulation,18.97,0
cv1,manipulation,20.37,1
cv1,manipulation,23.55,1
cv1,manipulation,17.41,1
cv1,manipulation,22.38,1
cv1,manipulation,22.12,1
cv1,manipulation,22.09,1
cv1,manipulation,20.94,1
cv1,manipulation,21.87,0
cv1,manipulation,18.2,0
cv1,manipulation,18.57,0
cv1,manipulation,20.4,1
cv1,manipulation,23.15,1
cv1,manipulation,18.98,0
cv1,manipulation,20.51,1
cv1,manipulation,22.09,1
cv1,manipulation,21.44,1
cv1,manipulation,21.11,1
cv1,manipulation,17.35,1
cv1,manipulation,24.8,1
cv1,manipulation,14.89,0
cv1,manipulation,16.54,1
cv1,manipulation,19.84,1
cv1,manipulation,18.77,1
cv1,manipulation,20.61,1
cv1,manipulation,18.21,0
cv1,manipulation,20.64,1
cv1,manipulation,14.93,1
cv1,manipulation,19.35,1
cv1,manipulation,23.05,1
cv1,manipulation,20.52,1
cv1,manipulation,14.9,1
cv1,manipulation,16.24,0
cv1,manipulation,21.76,1
cv1,manipulation,20.89,0
cv1,manipulation,19.24,0
cv1,manipulation,13.61,0
cv1,manipulation,19.21,1
cv1,manipulation,19.19,1
cv1,manipulation,22.28,1
cv1,manipulation,17.92,1
cv1,manipulation,19.44,0
cv1,manipulation,18.75,0
cv1,manipulation,19.09,1
cv1,manipulation,18.89,1
cv1,manipulation,21.19,1
cv1,manipulation,14.81,1
cv1,manipulation,16.59,0
cv1,manipulation,18.47,1
cv1,manipulation,20.07,0
cv1,manipulation,23.74,1
cv1,manipulation,9.73,0
cv1,manipulation,18.34,0
cv1,manipulation,16.1,1
cv1,manipulation,19.34,1
cv1,manipulation,19.49,1
cv1,manipulation,19.72,1
cv1,manipulation,11.11,0
cv1,manipulation,19.31,1
cv1,manipulation,19.09,0
cv1,manipulation,17.42,0
cv1,manipulation,21.38,1
cv1,manipulation,15.73,0
cv1,manipulation,21.98,0
cv1,manipulation,20.01,1
cv1,manipulation,11.67,0
cv1,manipulation,17.53,0
cv1,manipulation,15.73,0
cv1,manipulation,14.6,0
cv1,manipulation,23.13,1
cv1,manipulation,20.88,1
cv1,manipulation,17.96,1
cv1,manipulation,22.54,1
cv1,manipulation,16.28,0
cv1,manipulation,16.57,1
cv1,manipulation,15.91,0
cv1,manipulation,13.29,0
cv1,manipulation,18.33,1
cv1,manipulation,22.19,1
cv1,manipulation,20.35,1
cv1,manipulation,19.77,1
cv1,manipulation,17.25,1
cv1,manipulation,20.01,0
cv1,manipulation,20.05,1
cv1,manipulation,19.73,1
cv1,manipulation,16.54,0
cv1,manipulation,19.72,1
cv1,manipulation,17.1,1
cv1,manipulation,20.94,1
cv1,manipulation,23.94,1
cv1,manipulation,17.03,1
cv1,manipulation,18.11,1
cv1,manipulation,15.71,1
cv1,manipulation,17.88,1
cv1,manipulation,22.33,1
cv1,manipulation,22.69,1
cv1,manipulation,18.64,1
cv1,manipulation,22.63,1
cv1,manipulation,16.86,0
cv1,manipulation,17.77,1
cv1,manipulation,20.21,0
cv1,manipulation,12.32,0
cv1,manipulation,18.17,1
cv1,manipulation,21.34,1
cv1,manipulation,15.15,0
cv1,manipulation,16.64,1
cv1,manipulation,18.6,1
cv1,manipulation,20.85,1
cv1,manipulation,19.65,1
cv1,manipulation,20.67,0
cv1,manipulation,21.15,1
cv1,manipulation,21.03,1
cv1,manipulation,8.24,0
cv1,manipulation,16.64,1
cv1,manipulation,12.26,0
cv1,manipulation,20.38,1
cv1,manipulation,19.75,1
cv1,manipulation,13.66,0
cv1,manipulation,21.09,1
cv1,manipulation,21.62,1
cv1,manipulation,16.3,0
cv1,manipulation,19.19,1
cv1,manipulation,13.21,0
cv1,manipulation,18.04,1
cv1,manipulation,20.99,1
cv1,manipulation,19.21,1
cv1,manipulation,13.5,0
cv1,manipulation,20.12,0
cv1,manipulation,14.99,0
cv1,manipulation,21.97,1
cv1,manipulation,15.3,0
cv1,manipulation,17.87,0
cv1,manipulation,21.1,1
cv1,manipulation,19.03,1
cv1,manipulation,16.51,0
cv1,manipulation,20.93,1
cv1,manipulation,22.04,1
cv1,manipulation,20.28,0
cv1,manipulation,19.93,1
cv1,manipulation,21.75,1
cv1,manipulation,16.28,0
cv1,manipulation,17.32,0
cv1,manipulation,20.68,1
cv1,manipulation,19.19,1
cv1,manipulation,16.88,0
cv1,manipulation,22.55,1
cv1,manipulation,16.06,1
cv1,manipulation,14.17,1
cv1,manipulation,23.92,1
cv1,manipulation,15.78,0
cv1,manipulation,14.74,0
cv1,manipulation,21.67,1
cv1,manipulation,13.84,0
cv1,manipulation,14.49,0
cv1,manipulation,20.16,0
cv1,manipulation,21.77,1
cv1,manipulation,21.05,1
cv1,manipulation,20.58,1
cv1,manipulation,20.37,1
cv1,manipulation,20.84,1
cv1,manipulation,17.99,1
cv1,manipulation,18.03,0
cv1,manipulation,21.04,1
cv1,manipulation,19.17,1
cv1,manipulation,13.48,0
cv1,manipulation,17.21,0
cv1,manipulation,19.79,0
cv1,manipulation,15.79,0
cv1,manipulation,21.25,1
cv1,manipulation,18.73,1
cv1,manipulation,19.47,1
cv1,manipulation,21.94,1
cv1,manipulation,16.78,0
cv1,manipulation,12.76,0
cv1,manipulation,19.05,0
cv1,manipulation,11.43,0
cv1,manipulation,14.96,0
cv1,manipulation,14.69,0
cv1,manipulation,17.55,1
cv1,manipulation,22.68,1
cv1,manipulation,18.27,1
cv1,manipulation,14.39,0
cv1,manipulation,21.89,1
cv1,manipulation,12.26,0
cv1,manipulation,19.96,1
cv1,manipulation,19.66,1
cv1,manipulation,23.62,1
cv1,manipulation,19.48,0
cv1,manipulation,22.11,1
cv1,manipulation,18.41,0
cv1,manipulation,23.97,1
cv1,manipulation,19.9,1
cv1,manipulation,19.11,1
cv1,manipulation,16.6,0
cv1,manipulation,21.46,0
cv1,manipulation,19.84,1
cv1,manipulation,18.66,1
cv1,manipulation,17.71,1
cv1,manipulation,21.74,1
cv1,manipulation,15.72,1
cv1,manipulation,15.13,0
cv1,manipulation,19.03,1
cv1,manipulation,23.75,1
cv1,manipulation,15.58,0
cv1,manipulation,18.26,0
cv1,manipulation,21.54,1
cv1,manipulation,18.3,0
cv1,manipulation,18.54,0
cv1,manipulation,23.68,1
cv1,manipulation,16.71,0
cv1,manipulation,20.11,1
cv1,manipulation,20.81,1
cv1,manipulation,19.49,0
cv1,manipulation,15.76,0
cv1,manipulation,17.24,0
cv1,manipulation,14.39,0
cv1,manipulation,13.97,0
cv1,manipulation,20.04,1
cv1,manipulation,16.92,0
cv1,manipulation,11.7,0
cv1,manipulation,19.68,1
cv1,manipulation,12.11,0
cv1,manipulation,13.32,0
cv1,manipulation,17.25,0
cv1,manipulation,20.03,1
cv1,manipulation,14.78,0
cv1,manipulation,18.15,1
cv1,manipulation,15.71,0
cv1,manipulation,20.37,0
cv1,manipulation,18.93,1
cv1,manipulation,17.73,1
cv1,manipulation,19.16,1
cv1,manipulation,16.49,0
cv1,manipulation,18.96,1
cv1,manipulation,22.69,1
cv1,manipulation,20.18,1
cv1,manipulation,16.84,0
cv1,manipulation,16.6,1
cv1,manipulation,22.05,1
cv1,manipulation,18.67,0
cv1,manipulation,19.88,1
cv1,manipulation,20.34,1
cv1,manipulation,17.41,0
cv1,manipulation,20.12,1
cv1,manipulation,11.78,0
cv1,manipulation,18.86,1
cv1,manipulation,21.4,1
cv1,manipulation,15.82,0
cv1,manipulation,15.71,0
cv1,manipulation,17.97,1
cv1,manipulation,19.18,0
cv1,manipulation,12.97,0
cv1,manipulation,21.1,1
cv1,manipulation,19.02,1
cv1,manipulation,14.24,0
cv1,manipulation,16.36,1
cv1,manipulation,12.03,0
cv1,manipulation,16.61,0
cv1,manipulation,21.58,1
cv1,manipulation,19.5,0
cv1,manipulation,15.96,0
cv1,manipulation,18.64,0
cv1,manipulation,19.59,1
cv1,manipulation,19.65,0
cv1,manipulation,18.53,0
cv1,manipulation,13.86,0
cv1,manipulation,19.93,1
cv1,manipulation,21.16,0
cv1,manipulation,20.42,0
cv1,manipulation,19.63,1
cv1,manipulation,15.64,0
cv1,manipulation,13.49,0
cv1,manipulation,20.48,1
cv1,manipulation,19.58,0
cv1,manipulation,21.61,1
cv1,manipulation,20.87,1
cv1,manipulation,18.26,0
cv1,manipulation,20.07,1
cv1,manipulation,20.82,1
cv1,manipulation,21.02,1
cv1,manipulation,18.34,1
cv1,manipulation,19.05,0
cv1,manipulation,14.62,0
cv1,manipulation,21.11,1
cv1,manipulation,20.54,1
cv1,manipulation,19.21,1
cv1,manipulation,18.65,0
cv1,manipulation,21.09,1
cv1,manipulation,21.06,1
cv1,manipulation,12.71,0
cv1,manipulation,21.49,0
cv1,manipulation,17.95,0
cv1,manipulation,15.48,0
cv1,manipulation,21.49,1
cv1,manipulation,18.42,0
cv1,manipulation,17.59,1
cv1,manipulation,21.29,1
cv1,manipulation,22.66,1
cv1,manipulation,22.5,1
cv1,manipulation,21.83,1
cv1,manipulation,21.95,1
cv1,manipulation,19.93,1
cv1,manipulation,23.84,1
cv1,manipulation,20.92,0
cv1,manipulation,16.87,0
cv1,manipulation,19.55,0
cv1,manipulation,18.34,0
cv1,manipulation,20,1
cv1,manipulation,19.66,1
cv1,manipulation,13.3,0
cv1,manipulation,19.65,0
cv1,manipulation,19.48,1
cv1,manipulation,15.45,0
cv1,manipulation,15.7,1
cv1,manipulation,21.04,1
cv1,manipulation,22.46,1
cv1,manipulation,20.04,1
cv1,manipulation,21.18,1
cv1,manipulation,19.44,1
cv1,manipulation,20.11,1
cv1,manipulation,17.99,1
cv1,manipulation,17.36,0
cv1,manipulation,13.47,0
cv1,manipulation,12.24,0
cv1,manipulation,22.53,1
cv1,manipulation,21.08,1
cv1,manipulation,13.12,0
cv1,manipulation,19.94,1
cv1,manipulation,18.02,1
cv1,manipulation,15.64,0
cv1,manipulation,14.94,0
cv1,manipulation,21.81,1
cv1,manipulation,18.37,1
cv1,manipulation,17.67,1
cv1,manipulation,22.8,1
cv1,manipulation,21.4,1
cv1,manipulation,20.53,1
cv1,manipulation,17.56,0
cv1,manipulation,17.38,0
cv1,manipulation,14.47,0
cv1,manipulation,18.59,0
cv1,manipulation,17.57,0
cv1,manipulation,18.63,1
cv1,manipulation,21,1
cv1,manipulation,20.9,1
cv1,manipulation,13.03,0
cv1,manipulation,18.6,1
cv1,manipulation,14.33,0
cv1,manipulation,18.01,1
cv1,manipulation,14.28,0
cv1,manipulation,20.55,1
cv1,manipulation,23.56,1
cv1,manipulation,20.99,1
cv1,manipulation,17.18,0
cv1,manipulation,19.54,1
cv1,manipulation,19.7,0
cv1,manipulation,21.56,1
cv1,manipulation,22.17,0
cv1,manipulation,19.06,0
cv1,manipulation,20.89,1
cv1,manipulation,19.07,0
cv1,manipulation,20.86,1
cv1,manipulation,22.08,1
cv1,manipulation,21.33,1
cv1,manipulation,19.66,0
cv1,manipulation,20.51,1
cv1,manipulation,18.5,1
cv1,manipulation,10.9,0
cv1,manipulation,18.95,1
cv1,manipulation,20.32,1
